"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1941","test_my_info_tab_loads[Personal Details-pim/viewPersonalDetails]","tests","2026-09-19","passed","2026-09-19","","test_module_coverage","",""
"","2155","test_module_page_loads[Performance-My Trackers-None-performance/viewMyPerformanceTrackerList-My Performance Trackers]","tests","2026-09-19","passed","2026-09-19","","test_module_coverage","",""
"","7265","test_module_page_loads[Admin-Qualifications-Skills-admin/viewSkills-Skills]","tests","2026-09-19","passed","2026-09-19","","test_module_coverage","",""
"","6339","test_submit_and_cancel_claim","tests","2026-09-19","passed","2026-09-19","","test_claim","",""
"","1801","test_my_info_tab_loads[Job-pim/viewJobDetails]","tests","2026-09-19","passed","2026-09-19","","test_module_coverage","",""
"","2729","test_module_page_loads[Time-Reports-Employee Reports-time/displayEmployeeReportCriteria-Reports]","tests","2026-09-19","passed","2026-09-19","","test_module_coverage","",""
"","2699","test_module_page_loads[Leave-Entitlements-Add Entitlements-leave/addLeaveEntitlement-Entitlements]","tests","2026-09-19","passed","2026-09-19","","test_module_coverage","",""
"","3188","test_add_candidate_rejects_invalid_email_format","tests","2026-09-19","passed","2026-09-19","","test_negative_validation","",""
"","16332","test_create_and_delete_post","tests","2026-09-19","passed","2026-09-19","","test_buzz","",""
"","2723","test_login_page_has_no_critical_accessibility_violations","tests","2026-09-19","passed","2026-09-19","","test_accessibility","",""
"","7653","test_valid_login_shows_dashboard","tests","2026-09-19","passed","2026-09-19","","test_login","",""
"","16844","test_add_search_delete_employee","tests","2026-09-19","passed","2026-09-19","","test_pim","",""
"","3687","test_add_employee_rejects_empty_required_fields","tests","2026-09-19","passed","2026-09-19","","test_negative_validation","",""
"","3101","test_module_page_loads[Admin-Configuration-Localization-admin/localization-Localization]","tests","2026-09-19","passed","2026-09-19","","test_module_coverage","",""
"","13827","test_add_candidate_with_resume_upload","tests","2026-09-19","passed","2026-09-19","","test_recruitment","",""
"","2127","test_nav_item_opens_correct_page[My Info-pim/viewPersonalDetails-PIM]","tests","2026-09-19","passed","2026-09-19","","test_navigation","",""
"","2088","test_my_info_tab_loads[Emergency Contacts-pim/viewEmergencyContacts]","tests","2026-09-19","passed","2026-09-19","","test_module_coverage","",""
"","4710","test_employee_search_with_no_match_shows_no_records","tests","2026-09-19","passed","2026-09-19","","test_pim","",""
"","1606","test_selecting_multiple_rows_updates_selected_count","tests","2026-09-19","passed","2026-09-19","","test_bulk_select","",""
"","4138","test_admin_users_sorting_changes_row_order","tests","2026-09-19","passed","2026-09-19","","test_data_table","",""
"","1134","test_dashboard_widgets_are_present","tests","2026-09-19","passed","2026-09-19","","test_dashboard","",""
"","2757","test_module_page_loads[Time-Reports-Project Reports-time/displayProjectReportCriteria-Reports]","tests","2026-09-19","passed","2026-09-19","","test_module_coverage","",""
"","2759","test_module_page_loads[Admin-Job-Employment Status-admin/employmentStatus-Employment Status]","tests","2026-09-19","passed","2026-09-19","","test_module_coverage","",""
"","2306","test_module_page_loads[Admin-Nationalities-None-admin/nationality-Nationalities]","tests","2026-09-19","passed","2026-09-19","","test_module_coverage","",""
